,video_id,channel_id,video_title,video_description,video_tags,video_duration,video_published,video_category,video_info_card,video_with_ads,video_end_screen,video_cluster,crawled_date,year,month,day,pre_text
0,JCqgRM-2_GU,UCU-wl-PZYxpWeDl1OIiE_hQ,어머니와 함께 방문 한 15 세 중학생 환자분의 포경수술 영상  (포경 소매법) Circumcision with the sleeve technique.,"수술 적응증 상담 : 010-9190-7575
카카오톡 상담 : gnjurology


*찾아오시는 길
서울특별시 강남구 학동로 203 4F 강남J비뇨기과
(7호선 학동역 8번/9번 출구 도보 1분)

홈페이지 : www.manclinic.com
네이버 블로그 : blog.naver.com/gnjurology
네이버 카페 : cafe.naver.com/gnjurology
이메일 : gnjurology@naver.com","['강남비뇨기과', '박천진', '포경', '포경수술', '귀두포피', '위생관리']",75,2024-10-06,Education,0,0,0,-1,2024-10-07 17:37:39,2024,10,6,어머니와 함께 15 세 중학생 환자분의 포경수술 영상 포경 소매법 Circumcision with the sleeve technique 강남비뇨기과 박천진 포경 포경수술 귀두포피 위생관리  [SEP] Education
1,R0pRp-3S5Yo,UCm69xuysxVgNuRpmXCiXlPw,"YURIAN (유리안) - FUCKING MY CITY 2024 ver. (Ft. Rredrain, Hijvc Kid) 가사(lyrics)","#YURIAN #유리안 #FUCKING_MY_CITY_2024 #Rredrain #하이잭키드#Hijvc_Kid #가사 #lyrics #힙합 #hiphop
✅ 모든영상의 저작권은 해당 래퍼분들에게 있습니다.
✅ 영상제작 문의: ybhiphopgallery@gmail.com

???? 타임라인
00:00 Hook
00:28 YURIAN (유리안)
1:34 Hijvc kid (하이잭 키드)
2:00 Rredrain (레드레인)
2:26 Hook",[],177,2024-10-06,Music,0,0,0,-1,2024-10-07 17:37:57,2024,10,6,YURIAN 유리안 FUCKING MY CITY 2024 ver Ft. Rredrain Hijvc Kid 가사 lyrics  #YURIAN #유리안 #FUCKING #Rredrain #하이잭키드 #Hijvc #가사 #lyrics #힙합 #hiphop [SEP] Music
2,RsVKZrt2DSo,UCVcLszfUBN9rTmc0A0uDRSQ,대리모 사건이 소환한 합법화 논쟁 / KBC뉴스,"불임이나 난임 부부가 브로커에게 돈을 주고 출산을 의뢰한 '대리모 범죄'가 14년 만에 적발됐다는 소식 전해드렸는데요.

이 소식이 알려지자 일부 누리꾼들 사이에서 때아닌 '대리모 합법화' 논쟁이 일기도 했습니다.

대리 출산이 허용될 경우 여성을 출산 도구로 여겨 인권을 침해할 수 있고, 법적 분쟁 같은 부작용도 커 신중한 접근이 필요하다는 지적입니다.

신대희 기자가 보도합니다.

✔ 더 많은 광주·전남 뉴스를 보고 싶다면 KBC뉴스를 '구독' 해주세요

▶KBC 뉴스 홈페이지
https://news.ikbc.co.kr/news/main

▶KBC 뉴스 제보하기
홈페이지 : https://www.ikbc.co.kr/board/edit/jebo
카카오톡 : https://pf.kakao.com/_tBLUxd/chat
전화 : 062-650-3114
팩스 : 062-653-3327

▶KBC 주요뉴스
네이버 : https://media.naver.com/press/660
다음 : https://v.daum.net/channel/133710/home

▶KBC 뉴스 SNS 공식채널
유튜브 : https://www.youtube.com/c/kbc뉴스
페이스북 : https://www.facebook.com/KBCstory/
트위터 : https://twitter.com/KBC__news
인스타그램 : https://www.instagram.com/kbc__news/
틱톡 : https://www.tiktok.com/@kbc__news

▶KBC 광주방송 콘텐츠 링크 모아보기
https://linktr.ee/kbc__news","['kbc', 'kbc광주방송', '깨비씨', 'kbc 뉴스']",158,2024-10-06,News & Politics,0,0,0,-1,2024-10-07 17:38:23,2024,10,6,대리모 사건이 소환한 합법화 논쟁 KBC뉴스 kbc kbc광주방송 깨비씨 kbc 뉴스  [SEP] News & Politics
3,2CpgC1K7jNI,UCxCsxXsJPDMfjcXEEV09m9w,대포죽순이요????푸바오 핸펀몰카사건? 10.6 푸바오 이야기 FUBAO PANDA CUTE ANIMAL,,[],400,2024-10-06,Travel & Events,0,0,0,-1,2024-10-07 17:38:24,2024,10,6,대포죽순이요 푸바오 핸펀몰카사건 푸바오 이야기 FUBAO PANDA CUTE ANIMAL   [SEP] Travel & Events
4,C-jOF1sgdOg,UCYCb_mX7P1xKrB5iaT8y0Wg,"일본에 남겨진 한국의 문화유산【아시아의 숨은 혼, 백제를 가다 Part 2】","0:00 2012년 6월 18일 다카이다야마 고분
1:43 2012년 6월 25일 온돌과 대벽
3:13 2012년 7월 9일 1400년 전 한류 '미마지'
5:06 2012년 7월 16일 백제의 하사품 '칠지도'
7:05 2012년 7월 23일 일본서 만난 백제 목조 불상

2012년 TJB 기획보도 ????아시아의 숨은 혼, 백제를 가다???? 방영본입니다.

===================================
● 영상이 마음에 드셨다면 좋아요, 구독, 공유해주세요
● 뉴스 영상에 대한 모든 저작권은 TJB에 있습니다
===================================

#tjb #자막뉴스 #백제 #일본 #다카이다야마고분 #온돌 #대벽 #미마지 #칠지도 #불상","['TJB', 'tjb', 'tjb대전방송', '엑스포로131', '엑스포로', 'TJB대전방송', '대전방송', '대전충남', '대전광역시', '충청남도', '양세원아나운서', '아나운서', '천안시', '공주시', '태안군', '보령시', '금산군', '서산시', '예산군', '청양군', '아산시', '내포신도시', '홍성군', '부여군', '논산시', '서천군', '당진시', '자막뉴스', '끌올뉴스', '한화이글스', '하나시티즌']",572,2024-10-07,Entertainment,0,0,0,-1,2024-10-07 17:38:24,2024,10,7,일본에 한국의 문화유산 아시아의 숨은 혼 백제를 가다 Part 2 TJB tjb tjb대전방송 엑스포로131 엑스포로 TJB대전방송 대전방송 대전충남 대전광역시 충청남도 양세원아나운서 아나운서 천안시 공주시 태안군 보령시 금산군 서산시 예산군 청양군 아산시 내포신도시 홍성군 부여군 논산시 서천군 당진시 자막뉴스 끌올뉴스 한화이글스 하나시티즌 #tjb #자막뉴스 #백제 #일본 #다카이다야마고분 #온돌 #대벽 #미마지 #칠지도 #불상 [SEP] Entertainment
5,giUtBrfvLJU,UCid3cohbMuIdWmTz_Fk23Vw,김동건변호사 고향사찰 구천면 정수사 다녀갑니다,,[],131,2024-10-06,People & Blogs,0,0,0,-1,2024-10-07 17:38:32,2024,10,6,김동건변호사 고향사찰 구천면 정수사 다녀갑니다   [SEP] People & Blogs
6,e385v0i968k,UCidvkcmgcC600uqGbu-fbMQ,엔믹스 NMIXX - 占 (TANK) | NMIXX CHANGE UP : MIXX LAB (Day3),#nmixx #tank,[],162,2024-10-06,Music,0,0,0,-1,2024-10-07 17:38:33,2024,10,6,엔믹스 NMIXX 占 ( TANK NMIXX CHANGE MIXX LAB Day3  #nmixx #tank [SEP] Music
7,ya-XAGGBSpc,UCLDlamSGPyVt9jB-IgJUdDg,놓치고 싶지 않은 직원들은 서운함 없이 잘 해줘야 합니다,01026941945 김준호,"['글로벌금융판매', '보험회사지점장', '보험', '보험설계사', '보험회사', '김준호지점장', '병원인하우스', '일잘하는사람', '짜웅', '일못하는사람', '특징', '연봉', '직원', '조직', '센스']",295,2024-10-06,People & Blogs,0,0,0,-1,2024-10-07 17:38:33,2024,10,6,않은 직원들은 서운함 글로벌금융판매 보험회사지점장 보험 보험설계사 보험회사 김준호지점장 병원인하우스 일잘하는사람 짜웅 일못하는사람 특징 연봉 직원 조직 센스  [SEP] People & Blogs
8,8HRFrskGuks,UCZE0CrbZaXylHJ36l_kXgSw,"""롤드컵의 페이커는 다릅니다"" 고전파 모드 페이커 사일러스 등장 | 롤 하이라이트 LCK T1 롤드컵","사일러스: 페이커(T1 Faker)

#롤 #리그오브레전드 #t1 #montage #faker #티빠","['롤', '리그오브레전드', 'lol', 't1', '티원', '페이커', 'faker', '매드무비', 'montage', '관전', '하이라이트', 'league of legends', '제우스', '롤드컵', '대상혁', '역천괴', '전당', '역체롤', '세체미', '페블랑', '룰러', '르블랑', '구마유시', '오너', '케리아', '사일러스']",304,2024-10-06,Gaming,0,0,0,-1,2024-10-07 17:38:42,2024,10,6,롤드컵의 페이커는 다릅니다 고전파 모드 페이커 사일러스 등장 롤 하이라이트 LCK T1 롤 리그오브레전드 lol t1 티원 페이커 faker 매드무비 montage 관전 하이라이트 league of legends 제우스 롤드컵 대상혁 역천괴 전당 역체롤 세체미 페블랑 룰러 르블랑 구마유시 오너 케리아 사일러스 #롤 #리그오브레전드 #t1 #montage #faker #티빠 [SEP] Gaming
9,roMXgOBuU8Q,UC2fNt6XqBzBhvty-vmITXXA,운남농협 창립 60주년 기념식 열려[목포MBC 뉴스데스크],"[목포MBC 뉴스]
 운남농협 창립 60주년 기념식과
조합원 한마음축제가 
어제(5) 운남농협 자재센터 앞에서 열렸습니다. 

 이번 행사는 '함께 한 60년, 함께 할 100년'을
주제로 농업 발전에 힘쓴 조합원 등에게
공로패와 감사패, 표창이 전달됐으며
비전 퍼포먼스와 인기가수 축하공연,
경품추첨과 조합원 노래경연 등이 
이어졌습니다.","['목포MBC', 'MBC뉴스', '목포MBC뉴스', '전라남도', '목포시', '지방', '지역', '뉴스데스크', '뉴스투데이', '낭만항구', '유튜브뉴스', '지역방송', 'news', '전남 경제', '지방분권', '전남도청', '전남교육청', '이주노동자', '농업']",25,2024-10-06,News & Politics,0,0,0,-1,2024-10-07 17:38:43,2024,10,6,운남농협 창립 기념식 열려 [ 목포MBC 뉴스데스크 목포MBC MBC뉴스 목포MBC뉴스 전라남도 목포시 지방 지역 뉴스데스크 뉴스투데이 낭만항구 유튜브뉴스 지역방송 news 전남 경제 지방분권 전남도청 전남교육청 이주노동자 농업  [SEP] News & Politics
10,TZQZtxi_JIc,UCEFjztPRGAJe75dDnyawSyg,詩 작법 36,"자유시 습작
시 쓰는 법","['자유시 습작', '시 쓰는 법', '시', '자유시', '현대시', '시쓰기', '시 짓기', '시 작법', '시의 이해', '시 공부', '시 강의', '시 강좌', '시니어학당', '시인', '고두석']",1120,2024-10-06,People & Blogs,0,0,0,-1,2024-10-07 17:38:45,2024,10,6,詩 작법 36 자유시 습작 시 쓰는 법 시 자유시 현대시 시쓰기 시 짓기 시 작법 시의 이해 시 공부 시 강의 시 강좌 시니어학당 시인 고두석  [SEP] People & Blogs
11,2y3SQ2v5IQk,UC3_oS5M6sufpC03eS2L8fPg,[자막뉴스] 홍수에 떠내려가자 '박수' '알박기 염치' 오죽했으면..,#알박기 #캠핑 #sbs뉴스 #알박기 #텐트 #캠핑,[],358,2024-10-06,News & Politics,0,0,0,-1,2024-10-07 17:44:27,2024,10,6,[ 자막뉴스 홍수에 떠내려가자 박수 알박기 염치  #알박기 #캠핑 #sbs뉴스 #알박기 #텐트 #캠핑 [SEP] News & Politics
