,CHANNEL_ID,CHANNEL_NAME,CHANNEL_DESCRIPTION,CHANNEL_TAGS,MAINLY_USED_KEYWORDS,MAINLY_USED_TAGS,CHANNEL_COUNTRY,CHANNEL_LINK,CHANNEL_SINCE,CHANNEL_CLUSTER,CRAWLED_DATE,USER_ID,channel_id_part,CHANNEL_THUMBNAIL
0,UC3_oS5M6sufpC03eS2L8fPg,간편이슈,간편이슈 채널입니다.,[],,,,,2017-03-17,9,2024-10-09 17:00:16,,_,https://yt3.googleusercontent.com/sZ0GuO7Ziw6Dt2cA_4WxL5H88Z17L7vPcBIORwcemmJ-pXrdsrPkkCBBd0lAI-li4kcvt8QrYQ=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
1,UC5_LWTF7yeQcjwLwS5Q3Dtw,Diana and Roma KOR,"Diana와 Roma의 세계에 오신 것을 환영합니다. Diana, Roma, Little Oliver와 그들의 부모가 놀고, 배우고, 노래하고, 탐험하고, 삶의 경험을 공유하는 곳입니다. 전 세계 수백만 명의 어린이와 가족이 매일 Diana와 Roma와 함께 세계를 탐험하고 노래, 숫자, 자연, 색상, 모양, 동물, 건강한 음식 먹기, 손 씻기, 좋은 친구 되기의 중요성에 대해 배웁니다. , 그리고 훨씬 더.판권 소유. 이 시각적 작품에는 독창적인 예술적 콘텐츠와 아이디어가 포함되어 있으며 미국 및 국제법의 보호를 받습니다. 저작권 보유자/작가의 명시적인 서면 허가 없이 이 시각적 프리젠테이션의 복제 및 배포는 금지됩니다.이메일: dianaromabiz@gmail.com","['play', 'video', '다이아나', 'for', 'funny', 'kids', 'playing', 'pretend', '다이아나와', '로마']",,,미국,"https://www.instagram.com/kidsdianashow/,https://www.instagram.com/kidsromashow/,https://www.facebook.com/KidsDianaShowOfficial/,https://www.facebook.com/KidsRomaShow,https://www.tiktok.com/@kids.diana.show,https://www.tiktok.com/@kids.roma.show,https://www.youtube.com/c/KidsDianaShow,https://www.youtube.com/c/KidsRomaShow,https://www.instagram.com/kidsdianashow/,https://www.instagram.com/kidsromashow/,https://www.facebook.com/KidsDianaShowOfficial/,https://www.facebook.com/KidsRomaShow,https://www.tiktok.com/@kids.diana.show,https://www.tiktok.com/@kids.roma.show,https://www.youtube.com/c/KidsDianaShow,https://www.youtube.com/c/KidsRomaShow",2022-11-14,8,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/kFoxm2VTO0lqz-ydOUjqFOGYh4GVaFzw5-ASyxCfkeb-RYdh_9WoxXWopBvKmjLDCughIaAnjQ=s900-c-k-c0x00ffffff-no-rj
2,UC6_a4jw97wKD7IDR6T6Hg-Q,박갑열 TV,"함양의 랜드마크 상림숲의 소식\n열이의 힐링여행,함양  뉘우스\n사람사는 이야그,힐링산행 일기\n5쾌(식면변동소)의 삶 살아가기\n잘먹고,잘자고,잘싸고,잘놀고,\n잘웃고 하는게 최고 인기라~",,,,,,2021-08-30,0,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/Zy7n4wij5e3Pje2tsMWLmgAQLWWO7o0qdjXXg1xTatxsMv4IE-kosvGlQikd98u_t8lqHqfP2w=s900-c-k-c0x00ffffff-no-rj
3,UCc_JZODO1HZPcQvzy8lt2sw,코코티비,,"['비교', '추천', '평점', '판매순위', '후기', '가격', '가성비', '순위', '캐럿', '삼성전자']",,,empty,,2022-03-02,0,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/zESMQpFsTWPOPpO4UcZ_rnqHpcGx5H2Z0NuwQWX2LGXgCFQphKwlrwzT3-oRWFegE3g2XVsbQQ=s900-c-k-c0x00ffffff-no-rj
4,UCG_wXa6Uzo9AtpvdLSvlOQQ,365 MUSIC / 365 뮤직,"? 365 MUSIC / 365 뮤직? 본 영상은 가사 자막 영상입니다.   ?  영상을 통해 수익은 창출되지 않으며, 광고 재생 시 저작권자에게 광고에 대한 수익이 돌아갑니다.? 영상 제작&관련 문의 : vktmzj@gmail.com","['가사', '365뮤직', 'music', 'kpop', '음악', '최신곡', '최신음악', '힙합', '메탈', '발라드']",,,대한민국,,2022-08-15,14,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/k1BieH1AXWHEWaAsz2G71ZFASa6AdVpZ2qvDJsSEI_apDH_I-et69HlQWZ0GxtQIOkCJMZjjAA=s900-c-k-c0x00ffffff-no-rj
5,UCj_TmVnl7lHqphwbHZvHwBA,정쏭,당신의 찬양의 섬김이 천국에서 해같이 빛납니다. ,,,,대한민국,,2012-07-27,15,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/qAROg6SCQqNw7as5VsSwFOYuiwUcy0RRTIH9aspF3ZCZW7l6gOR-yqSZKNpKlOv81cZrhdEq1w=s900-c-k-c0x00ffffff-no-rj
6,UCQ_JBRjgta13ZUEhcIJGafg,크립토미디어그룹,비트코인 리플코인 이더리움 알트코인 추천 5000% 초대박 급등임박 제 2의 엑시인피니티가 될 슈퍼 울트라코인은?▶ 크립토미디어그룹 정보공유 무료방(성함+연락처)http://pf.kakao.com/_CJqXxj/chat▶ 크립토미디어그룹정보공유 무료방(성함+연락처)http://pf.kakao.com/_CJqXxj/chat*본 영상에서 제공되는 정보는 투자판단에 대한 참고용 일 뿐 해당 정보의 상승과 하락은 보장하지 않으며 모든 투자판단은 컨텐츠를 시청한 투자자에게 있습니다. #비트코인 #리플코인 #비트코인시세 #알트코인추천 #던프로토콜 #이더리움시세 #비트코인 #리플전망 #리플코인 #에이다 #쿠팡 #코인베이스 #이더리움 #비트코인전망 #비트코인단타 #비트코인골드  #카카오코인 #페이코인 #람다 #퀴즈톡 #도지코인 #코박토큰 #모스코인 #스트라이크코인 #펀디엑스 #휴먼스케이프 #메타디움 #메디블록 #세럼 #그로스톨코인 #디마켓 #웨이브코인 #휴먼스케이프 #페이코인 #엘프 #센티넬프로토콜 #칠리즈 #폴카닷 #파워렛저 #플레이댑 #하이브 #엑시인피니티 #ipfs #did #nft #샌드박스 ,"['코인', '비트코인', '리플', '이더리움', '방법', '코인베이스', '샌드박스', '메타디움', '비트코', '도지코인']",,,대한민국,,2021-08-30,2,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/nr2mRcx9R6JWT-hePbgENK2xEV1u4lnfKpXoVSurTGaR0v2EB72Dhuuxejn9i_8rv2nVEc1w=s900-c-k-c0x00ffffff-no-rj
7,UCu_WimUjA1pettDKHbPcs3A,"가수여경재,,웬만하면,,가지마오,,전북협회장",가지마오 웬만하면 사탕발림 백세까지만 옛뚝이뚝방길 당신이최고야작사 작곡  노래 여경재  010-6605-5178,"['예술단', '전북', '협회', '트로트가수', '평화', '음악', '윤정희', '여경', '공연', '경재']",,,empty,,2016-02-29,14,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/CmNz6vrrWjgYMbEDfzdgHCsKMFXWzRZDLn0acdDX9wFsDfFJK1a5Xk_vtHZwVnRDEfZbvqMt2A=s900-c-k-c0x00ffffff-no-rj
8,UCv_WRAmMl8M96g9HLTMIVLg,군단Corps,,"['군단', '생존', '크래프팅', '팩토리오', '정식발매', '완성', '크라스', '토리오', '완료', '공장']",,,대한민국,,2019-01-14,0,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/xefpGU1wuNX-j1bAZKWujRfoH_UxthkbJy34DYbz8HMZYJ7Al-TLTuZyyf4ugAV_16L2nOpdog=s900-c-k-c0x00ffffff-no-rj
9,UCW_sK5DhbQ2I47Ny4q7OukA,"login전산회계,전산세무,AT 1분강의",로그인전산회계/전산세무/세무회계/FAT/TAT 교재의 기본서 강의 및 1분강의입니다.,"['1분강의', '전산회계', '전산세무', 'fat', 'tat', '2급', '1급', '실무', '이론', '전산회계1급']",,,대한민국,"cafe.daum.net/taxacad,cafe.daum.net/taxacad",2020-11-15,3,2024-10-09 17:00:16,0.0,_,https://yt3.googleusercontent.com/ytc/AIdro_lu3Ns1qFLZQjUa7LXP0HC_HrO4N4ltwa27gkdNkPA7Ug=s900-c-k-c0x00ffffff-no-rj
